%time,field.ts.sec,field.ts.nsec,field.intrinsic,field.pos0.x,field.pos0.y,field.pos0.z,field.pos0.qw,field.pos0.qx,field.pos0.qy,field.pos0.qz,field.pos_cov0.cov0,field.pos_cov0.cov1,field.pos_cov0.cov2,field.pos_cov0.cov3,field.pos_cov0.cov4,field.pos_cov0.cov5,field.pos_cov0.cov6,field.pos_cov0.cov7,field.pos_cov0.cov8,field.pos_cov0.cov9,field.pos_cov0.cov10,field.pos_cov0.cov11,field.pos_cov0.cov12,field.pos_cov0.cov13,field.pos_cov0.cov14,field.pos_cov0.cov15,field.pos_cov0.cov16,field.pos_cov0.cov17,field.pos_cov0.cov18,field.pos_cov0.cov19,field.pos_cov0.cov20,field.pos_cov0.cov21,field.pos_cov0.cov22,field.pos_cov0.cov23,field.pos_cov0.cov24,field.pos_cov0.cov25,field.pos_cov0.cov26,field.pos_cov0.cov27
1498757297535995960,1498750671,330020000,0,0.0568268410861,0.0158590972424,0.108534537256,-0.999997437,-0.000828226387966,-0.00169969792478,0.00122452224605,4.47588866109e-07,0.0,4.47588866109e-07,0.0,0.0,4.47588866109e-07,0.0,0.0,0.0,2.29433734161e-11,0.0,0.0,0.0,-3.70703959755e-09,4.47588559082e-06,0.0,0.0,0.0,7.60763917037e-09,-6.30086366014e-12,4.47587573037e-06,0.0,0.0,0.0,5.48081118899e-09,4.53936408857e-12,9.31574728028e-12,4.4758819497e-06
1498757297536293983,1498750671,338354000,0,0.0568636320531,0.0158215593547,0.108623109758,-0.999998450279,6.70115550747e-05,-0.00121883489192,0.00128587719519,3.07313079797e-07,0.0,3.07313079797e-07,0.0,0.0,3.07313079797e-07,0.0,0.0,0.0,9.52498183666e-12,0.0,0.0,0.0,2.05934954578e-10,3.07313078417e-06,0.0,0.0,0.0,3.74563323929e-09,2.51001097086e-13,3.07312623266e-06,0.0,0.0,0.0,3.95166268696e-09,-2.64807472161e-13,4.81643182807e-12,3.07312571661e-06
1498757297536509990,1498750671,346687000,0,0.0568869486451,0.0158509034663,0.108761593699,-0.99999910593,-0.000358596793376,-0.000675753399264,0.00114560651127,3.57048514264e-07,0.0,3.57048514264e-07,0.0,0.0,3.57048514264e-07,0.0,0.0,0.0,6.38452210399e-12,0.0,0.0,0.0,-1.28036337821e-09,3.57048468351e-06,0.0,0.0,0.0,2.41276531498e-09,-8.65210678679e-13,3.57048351221e-06,0.0,0.0,0.0,4.09036737074e-09,1.46679393429e-12,2.7640821263e-12,3.57048045669e-06
1498757297536709070,1498750671,355021000,0,0.0568176880479,0.015882583335,0.10844515264,-0.999997079372,-0.000260846543824,-0.00214652973227,0.00108203920536,4.37495263489e-07,0.0,4.37495263489e-07,0.0,0.0,4.37495263489e-07,0.0,0.0,0.0,2.55551774571e-11,0.0,0.0,0.0,-1.14118794121e-09,4.37495233721e-06,0.0,0.0,0.0,9.39093848056e-09,-2.44960100029e-12,4.3749324769e-06,0.0,0.0,0.0,4.73385644666e-09,1.2348136995e-12,1.01613932887e-11,4.37494751266e-06
1498757297536901950,1498750671,363354000,0,0.0568267889321,0.0158953908831,0.108593001962,-0.999998629093,-0.000126329425257,-0.00130465440452,0.00108147214632,3.21926198511e-07,0.0,3.21926198511e-07,0.0,0.0,3.21926198511e-07,0.0,0.0,0.0,8.8266104346e-12,0.0,0.0,0.0,-4.06686958799e-10,3.21926193374e-06,0.0,0.0,0.0,4.20001857034e-09,-5.30586659444e-13,3.21925650553e-06,0.0,0.0,0.0,3.48153739575e-09,4.39821221169e-13,4.54220932482e-12,3.21925821992e-06
1498757297538811922,1498750671,371687000,0,0.0568385869265,0.0158762447536,0.108601152897,-0.999998271465,-0.000656343298033,-0.00136827921961,0.00112680008169,4.55322046768e-07,0.0,4.55322046768e-07,0.0,0.0,4.55322046768e-07,0.0,0.0,0.0,1.57407855322e-11,0.0,0.0,0.0,-2.98847057274e-09,4.55321850621e-06,0.0,0.0,0.0,6.2300661793e-09,-4.08906925118e-12,4.55321194319e-06,0.0,0.0,0.0,5.13056032658e-09,3.36741470619e-12,7.02005121419e-12,4.55321468655e-06
1498757297546916961,1498750671,380021000,0,0.0568544082344,0.0158489011228,0.108584180474,-0.999998569489,8.19732667878e-05,-0.00123500626069,0.00119871913921,2.96766858835e-07,0.0,2.96766858835e-07,0.0,0.0,2.96766858835e-07,0.0,0.0,0.0,8.49056186402e-12,0.0,0.0,0.0,2.43269140931e-10,2.96766856841e-06,0.0,0.0,0.0,3.6650840433e-09,3.00439341863e-13,2.96766406194e-06,0.0,0.0,0.0,3.55739604679e-09,-2.91611792367e-13,4.39341267435e-12,2.96766432403e-06
1498757297555679082,1498750671,388354000,0,0.0568245910108,0.0158491395414,0.10854947567,-0.999997735023,-0.000494994397741,-0.00178765540477,0.00109513534699,3.90241533272e-07,0.0,3.90241533272e-07,0.0,0.0,3.90241533272e-07,0.0,0.0,0.0,1.76777380353e-11,0.0,0.0,0.0,-1.93166935216e-09,3.90241437655e-06,0.0,0.0,0.0,6.97615806031e-09,-3.45316697895e-12,3.90240286172e-06,0.0,0.0,0.0,4.27366328971e-09,2.11544417767e-12,7.6398545821e-12,3.90241065247e-06
1498757297563627004,1498750671,396688000,0,0.0568260326982,0.0158784836531,0.10858681798,-0.999998390675,-1.03311786006e-05,-0.00145729503129,0.00107093818951,2.79804608413e-07,0.0,2.79804608413e-07,0.0,0.0,2.79804608413e-07,0.0,0.0,0.0,9.00592607038e-12,0.0,0.0,0.0,-2.89070673069e-11,2.79804608383e-06,0.0,0.0,0.0,4.07757209356e-09,-4.21261933502e-14,2.79804014189e-06,0.0,0.0,0.0,2.99652958511e-09,3.09577321469e-14,4.36683470315e-12,2.79804287502e-06
1498757297572200059,1498750671,405021000,0,0.0568106845021,0.0158987678587,0.108507066965,-0.999997973442,-0.000193545987713,-0.001754943165,0.00102469744161,3.85175334798e-07,0.0,3.85175334798e-07,0.0,0.0,3.85175334798e-07,0.0,0.0,0.0,1.56115867058e-11,0.0,0.0,0.0,-7.45489895382e-10,3.8517532037e-06,0.0,0.0,0.0,6.75959451256e-09,-1.30829504781e-12,3.85174148526e-06,0.0,0.0,0.0,3.9468738028e-09,7.63903136636e-13,6.92655324039e-12,3.85174930362e-06
1498757297580085992,1498750671,413354000,0,0.056809078902,0.0158924888819,0.108536526561,-0.999998033047,-0.000429375155363,-0.00165610027034,0.00108313455712,4.9055725735e-07,0.0,4.9055725735e-07,0.0,0.0,4.9055725735e-07,0.0,0.0,0.0,1.92980451246e-11,0.0,0.0,0.0,-2.10632684284e-09,4.9055716691e-06,0.0,0.0,0.0,8.12410408538e-09,-3.48829531516e-12,4.90555911914e-06,0.0,0.0,0.0,5.31338472562e-09,2.28143987955e-12,8.79951518875e-12,4.90556681838e-06
1498757297588707923,1498750671,421688000,0,0.0568676777184,0.0158413928002,0.108670063317,-0.999998569489,-0.000375878589693,-0.00104619713966,0.00134961784352,3.88191034804e-07,0.0,3.88191034804e-07,0.0,0.0,3.88191034804e-07,0.0,0.0,0.0,1.11062266488e-11,0.0,0.0,0.0,-1.45912489964e-09,3.88190979959e-06,0.0,0.0,0.0,4.06123769288e-09,-1.52653448013e-12,3.88190609918e-06,0.0,0.0,0.0,5.23908797806e-09,1.96926381753e-12,5.48112669788e-12,3.88190327727e-06
1498757297596935987,1498750671,430021000,0,0.0568419508636,0.015854543075,0.108599968255,-0.999998152256,-0.000515817606356,-0.00146474933717,0.00114382931497,5.9495250118e-07,0.0,5.9495250118e-07,0.0,0.0,5.9495250118e-07,0.0,0.0,0.0,2.19863778318e-11,0.0,0.0,0.0,-3.06886408005e-09,5.94952342882e-06,0.0,0.0,0.0,8.71454671525e-09,-4.49512493298e-12,5.94951224715e-06,0.0,0.0,0.0,6.80522854429e-09,3.51026318449e-12,9.96797241783e-12,5.94951722776e-06
1498757297605195999,1498750671,438355000,0,0.0568599402905,0.0158492606133,0.108720213175,-0.999998867512,-0.000317643774906,-0.000979003729299,0.00115773337893,3.14633351229e-07,0.0,3.14633351229e-07,0.0,0.0,3.14633351229e-07,0.0,0.0,0.0,7.12636743584e-12,0.0,0.0,0.0,-9.99412122133e-10,3.14633319483e-06,0.0,0.0,0.0,3.08026875378e-09,-9.78429302735e-13,3.14633049669e-06,0.0,0.0,0.0,3.64261120321e-09,1.15705408345e-12,3.56613399093e-12,3.14632929511e-06
1498757297613466024,1498750671,446688000,0,0.0568257570267,0.0158685576171,0.108600370586,-0.999998152256,-0.000282290857285,-0.00149686133955,0.00116294936743,3.78099239007e-07,0.0,3.78099239007e-07,0.0,0.0,3.78099239007e-07,0.0,0.0,0.0,1.39725990062e-11,0.0,0.0,0.0,-1.06733761101e-09,3.78099208877e-06,0.0,0.0,0.0,5.65961087628e-09,-1.59765935823e-12,3.7809839184e-06,0.0,0.0,0.0,4.39709458355e-09,1.24126189309e-12,6.58185305003e-12,3.78098727646e-06
1498757297622622013,1498750671,455022000,0,0.0568020865321,0.0159233640879,0.108500003815,-0.999997794628,-0.000328699883539,-0.00185498641804,0.000953652488533,4.10804415313e-07,0.0,4.10804415313e-07,0.0,0.0,4.10804415313e-07,0.0,0.0,0.0,1.81195099425e-11,0.0,0.0,0.0,-1.35031065676e-09,4.10804370928e-06,0.0,0.0,0.0,7.62034930301e-09,-2.50481345247e-12,4.10803001745e-06,0.0,0.0,0.0,3.91763788977e-09,1.28772995804e-12,7.26718110315e-12,4.10804041705e-06
1498757297630291938,1498750671,463355000,0,0.0568285025656,0.0158622972667,0.108556985855,-0.999997675419,-0.000681085279211,-0.00161621358711,0.00128909829073,4.50844522334e-07,0.0,4.50844522334e-07,0.0,0.0,4.50844522334e-07,0.0,0.0,0.0,2.09604691679e-11,0.0,0.0,0.0,-3.07062853581e-09,4.50844313198e-06,0.0,0.0,0.0,7.2865934884e-09,-4.96280309699e-12,4.50843344662e-06,0.0,0.0,0.0,5.81181552118e-09,3.95835119847e-12,9.39315704627e-12,4.50843773132e-06
1498757297638715982,1498750671,471688000,0,0.0568930320442,0.0158579517156,0.108687601984,-0.999998867512,-0.000349359062966,-0.000909646216314,0.00123138178606,3.99911741845e-07,0.0,3.99911741845e-07,0.0,0.0,3.99911741845e-07,0.0,0.0,0.0,9.05790185041e-12,0.0,0.0,0.0,-1.39712633177e-09,3.99911693035e-06,0.0,0.0,0.0,3.63777790855e-09,-1.27089212068e-12,3.99911410936e-06,0.0,0.0,0.0,4.92443477251e-09,1.72039786609e-12,4.47949853128e-12,3.99911135459e-06
1498757297647249937,1498750671,480022000,0,0.0568282902241,0.0158467758447,0.108596459031,-0.999997973442,-0.000302347965771,-0.00163659034297,0.00111288845073,4.15992810678e-07,0.0,4.15992810678e-07,0.0,0.0,4.15992810678e-07,0.0,0.0,0.0,1.68606534379e-11,0.0,0.0,0.0,-1.25774325194e-09,4.1599277265e-06,0.0,0.0,0.0,6.80808436999e-09,-2.05841463156e-12,4.15991696471e-06,0.0,0.0,0.0,4.62952656389e-09,1.39973077571e-12,7.57665382151e-12,4.15992295462e-06
1498757297656965017,1498750671,488355000,0,0.0568331964314,0.0158564131707,0.108578115702,-0.999998092651,-0.00013269977353,-0.00158144137822,0.00119747151621,3.58918711453e-07,0.0,3.58918711453e-07,0.0,0.0,3.58918711453e-07,0.0,0.0,0.0,1.36916492142e-11,0.0,0.0,0.0,-4.76283408816e-10,3.58918705133e-06,0.0,0.0,0.0,5.67607819082e-09,-7.53215727107e-13,3.58917813813e-06,0.0,0.0,0.0,4.2979411383e-09,5.70336903531e-13,6.79695492143e-12,3.58918196786e-06
1498757297663773059,1498750671,496689000,0,0.0568068623543,0.0159041304141,0.108543887734,-0.999998033047,-0.000462643918581,-0.00166141625959,0.00102563248947,4.60636864022e-07,0.0,4.60636864022e-07,0.0,0.0,4.60636864022e-07,0.0,0.0,0.0,1.81210059677e-11,0.0,0.0,0.0,-2.13110424635e-09,4.60636765428e-06,0.0,0.0,0.0,7.65308070327e-09,-3.54065821009e-12,4.60635592524e-06,0.0,0.0,0.0,4.72443204314e-09,2.18573405275e-12,7.84926365296e-12,4.60636379468e-06
1498757297672853946,1498750671,505022000,0,0.0568320043385,0.0158511195332,0.108591929078,-0.999998033047,-0.000467394595034,-0.00150571740232,0.00125183723867,4.22221076666e-07,0.0,4.22221076666e-07,0.0,0.0,4.22221076666e-07,0.0,0.0,0.0,1.6609766277e-11,0.0,0.0,0.0,-1.97343460977e-09,4.22220984429e-06,0.0,0.0,0.0,6.35744372283e-09,-2.97144067897e-12,4.22220119413e-06,0.0,0.0,0.0,5.28551027085e-09,2.4704237918e-12,7.95850044898e-12,4.22220415005e-06
1498757297680388927,1498750671,513355000,0,0.0568930730224,0.0158561952412,0.108683228493,-0.999998867512,-0.000301299034618,-0.000877098296769,0.00121765513904,3.55386889393e-07,0.0,3.55386889393e-07,0.0,0.0,3.55386889393e-07,0.0,0.0,0.0,8.04942497609e-12,0.0,0.0,0.0,-1.07077605426e-09,3.5538685713e-06,0.0,0.0,0.0,3.11708882373e-09,-9.39176917016e-13,3.55386615993e-06,0.0,0.0,0.0,4.32738182147e-09,1.30383744181e-12,3.79554352349e-12,3.55386362466e-06
1498757297688817977,1498750671,521689000,0,0.0568619482219,0.015816681087,0.10867023468,-0.999998271465,-0.000464757817099,-0.00121307966765,0.00133240688592,3.49839619881e-07,0.0,3.49839619881e-07,0.0,0.0,3.49839619881e-07,0.0,0.0,0.0,1.20941879848e-11,0.0,0.0,0.0,-1.62590417027e-09,3.49839544316e-06,0.0,0.0,0.0,4.24382596255e-09,-1.97235469979e-12,3.4983910507e-06,0.0,0.0,0.0,4.66127912778e-09,2.16636965696e-12,5.65451270918e-12,3.49838998808e-06
1498757297697031974,1498750671,530022000,0,0.0568486824632,0.0158567875624,0.108640775084,-0.999998509884,-0.00033296237234,-0.00126157177147,0.00118608074263,3.65369874668e-07,0.0,3.65369874668e-07,0.0,0.0,3.65369874668e-07,0.0,0.0,0.0,1.08888626828e-11,0.0,0.0,0.0,-1.21654238972e-09,3.65369834161e-06,0.0,0.0,0.0,4.6093963317e-09,-1.53475782463e-12,3.65369293158e-06,0.0,0.0,0.0,4.33357526526e-09,1.44291965115e-12,5.46712437082e-12,3.6536936067e-06
1498757297705707073,1498750671,538356000,0,0.0567997097969,0.0158908702433,0.108546592295,-0.999997913837,-0.000564538233448,-0.00167858961504,0.00107384799048,5.86913992962e-07,0.0,5.86913992962e-07,0.0,0.0,5.86913992962e-07,0.0,0.0,0.0,2.4487934502e-11,0.0,0.0,0.0,-3.31334697553e-09,5.8691380591e-06,0.0,0.0,0.0,9.85185678245e-09,-5.56176142688e-12,5.86912339236e-06,0.0,0.0,0.0,6.30255097111e-09,3.55803841409e-12,1.05794186787e-11,5.86913316162e-06
1498757297713495016,1498750671,546689000,0,0.0568490922451,0.0158468075097,0.108663395047,-0.999998748302,-0.000270585005637,-0.000891590025276,0.00133781146724,3.29658714528e-07,0.0,3.29658714528e-07,0.0,0.0,3.29658714528e-07,0.0,0.0,0.0,8.25265487723e-12,0.0,0.0,0.0,-8.92005934765e-10,3.29658690391e-06,0.0,0.0,0.0,2.93920053719e-09,-7.95304589405e-13,3.29658452471e-06,0.0,0.0,0.0,4.41020656545e-09,1.19333726207e-12,3.93210110496e-12,3.29658124524e-06
1498757297722178936,1498750671,555023000,0,0.0568392127752,0.0158986207098,0.108521327376,-0.999997973442,-0.000325184053509,-0.00169808021747,0.00103071774356,4.27496253301e-07,0.0,4.27496253301e-07,0.0,0.0,4.27496253301e-07,0.0,0.0,0.0,1.73269008212e-11,0.0,0.0,0.0,-1.39014682786e-09,4.27496208096e-06,0.0,0.0,0.0,7.25921459647e-09,-2.36058561163e-12,4.27495020626e-06,0.0,0.0,0.0,4.40627080625e-09,1.43285190539e-12,7.48221645204e-12,4.27495799138e-06
1498757297730293989,1498750671,563356000,0,0.0568543188274,0.0158217977732,0.108591645956,-0.999998092651,-0.00038790673716,-0.00143314769957,0.0012577251764,3.89055143137e-07,0.0,3.89055143137e-07,0.0,0.0,3.89055143137e-07,0.0,0.0,0.0,1.48412617533e-11,0.0,0.0,0.0,-1.50916823298e-09,3.89055084595e-06,0.0,0.0,0.0,5.57572419906e-09,-2.1628651067e-12,3.89054344051e-06,0.0,0.0,0.0,4.89323515219e-09,1.89812250242e-12,7.01274207757e-12,3.89054527701e-06
1498757297738852024,1498750671,571689000,0,0.0568534694612,0.0158484019339,0.108698293567,-0.999998390675,-0.000665471132379,-0.00108178891242,0.00130966270808,5.03114846623e-07,0.0,5.03114846623e-07,0.0,0.0,5.03114846623e-07,0.0,0.0,0.0,1.61934970954e-11,0.0,0.0,0.0,-3.34807867883e-09,5.03114623818e-06,0.0,0.0,0.0,5.44263186851e-09,-3.62192022151e-12,5.03114257844e-06,0.0,0.0,0.0,6.58909692103e-09,4.38486084606e-12,7.12802346331e-12,5.03113983672e-06
1498757297746779918,1498750671,580023000,0,0.0568157434464,0.0158806033432,0.108489841223,-0.999997794628,-0.000216417509364,-0.00180117075797,0.00112572358921,3.02020189681e-07,0.0,3.02020189681e-07,0.0,0.0,3.02020189681e-07,0.0,0.0,0.0,1.33213218402e-11,0.0,0.0,0.0,-6.53623130799e-10,3.02020175536e-06,0.0,0.0,0.0,5.43988734271e-09,-1.17728946629e-12,3.02019209862e-06,0.0,0.0,0.0,3.39990502135e-09,7.35800599509e-13,6.12382300965e-12,3.02019806945e-06
1498757297755356073,1498750671,588356000,0,0.0568015985191,0.0158967096359,0.108555927873,-0.999998033047,-0.000614782155026,-0.00154869945254,0.00115132774226,3.82671670975e-07,0.0,3.82671670975e-07,0.0,0.0,3.82671670975e-07,0.0,0.0,0.0,1.50539311441e-11,0.0,0.0,0.0,-2.35259251805e-09,3.82671526342e-06,0.0,0.0,0.0,5.92642241641e-09,-3.64346591128e-12,3.82670753149e-06,0.0,0.0,0.0,4.40579644371e-09,2.70861035998e-12,6.82326796144e-12,3.82671163723e-06
